Data,Último,Abertura,Máxima,Mínima,Vol.,Var%,Volume
17.12.2025,157.327,158.578,158.611,156.351,"11,34B","-0,79%",11340000000.0
16.12.2025,158.578,162.482,162.482,158.558,"9,92B","-2,40%",9920000000.0
15.12.2025,162.482,160.766,163.073,160.766,"8,23B","1,07%",8230000000.0
12.12.2025,160.766,159.189,161.263,159.189,"7,67B","0,99%",7670000000.0
11.12.2025,159.189,159.072,159.85,158.098,"7,02B","0,07%",7020000000.0
10.12.2025,159.075,157.984,159.691,157.628,"8,24B","0,69%",8240000000.0
09.12.2025,157.981,158.187,158.851,155.188,"8,70B","-0,13%",8700000000.0
08.12.2025,158.187,157.369,159.235,157.369,"9,02B","0,52%",9020000000.0
05.12.2025,157.369,164.461,165.036,157.007,"14,53B","-4,31%",14530000000.0
04.12.2025,164.456,161.76,164.551,161.759,"10,59B","1,67%",10590000000.0
03.12.2025,161.755,161.094,161.963,161.093,"8,29B","0,41%",8289999999.999999
02.12.2025,161.092,158.612,161.092,158.612,"8,43B","1,56%",8430000000.0
01.12.2025,158.611,159.073,159.224,158.029,"7,50B","-0,29%",7500000000.0
28.11.2025,159.072,158.358,159.689,158.078,"8,02B","0,45%",8020000000.0
27.11.2025,158.36,158.554,158.864,158.167,"4,47B","-0,12%",4470000000.0
26.11.2025,158.555,155.915,158.714,155.914,"8,60B","1,70%",8600000000.0
25.11.2025,155.91,155.278,156.373,154.821,"6,93B","0,41%",6930000000.0
24.11.2025,155.278,154.769,155.832,154.529,"9,28B","0,33%",9280000000.0
21.11.2025,154.77,155.381,155.387,153.571,"7,85B","-0,39%",7850000000.0
19.11.2025,155.381,156.522,156.522,155.212,"8,82B","-0,73%",8820000000.0
18.11.2025,156.522,156.99,157.04,155.834,"8,72B","-0,30%",8720000000.0
17.11.2025,156.993,157.742,157.901,156.568,"8,42B","-0,47%",8420000000.0
14.11.2025,157.739,157.162,158.366,156.656,"7,98B","0,37%",7980000000.0
13.11.2025,157.162,157.633,158.319,156.509,"10,56B","-0,30%",10560000000.0
12.11.2025,157.633,157.749,158.134,156.56,"11,23B","-0,07%",11230000000.0
11.11.2025,157.749,155.257,158.467,155.252,"12,88B","1,60%",12880000000.0
10.11.2025,155.257,154.061,155.601,154.058,"7,75B","0,77%",7750000000.0
07.11.2025,154.064,153.339,154.066,152.368,"9,47B","0,47%",9470000000.0
06.11.2025,153.339,153.297,154.352,153.235,"9,39B","0,03%",9390000000.0
